Gris ID;Sår ID;Tid;Niveau sårvæv;Sårskorpe;Granulationsvæv;Epithelialisering;Kontraktion;Hyperæmi;Ødem;Eksudat;Eksudattype;Infektionsniveau;;;;;;;;
20;D;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
20;A;5;2;2;2;0;0;1;1;0;0;2;;;;;;;;
20;B;5;2;2;2;0;0;1;1;0;0;2;;;;;;;;
20;C;5;1;2;2;0;0;1;1;0;0;2;;;;;;;;
20;D;5;1;2;2;0;0;1;1;0;0;2;;;;;;;;
20;A;6;3;2;2;0;0;0;0;0;0;2;;;;;;;;
20;B;6;3;2;2;0;0;0;0;0;0;2;;;;;;;;
20;C;6;3;2;2;0;0;1;1;0;0;2;;;;;;;;
20;D;6;3;2;2;0;0;1;1;0;0;2;;;;;;;;
20;A;7;3;2;1;0;0;0;0;0;0;2;;;;;;;;
20;B;7;3;2;1;0;0;0;0;0;0;2;;;;;;;;
20;C;7;3;1;1;0;0;0;0;0;0;2;;;;;;;;
20;D;7;3;1;1;0;0;0;0;0;0;2;;;;;;;;
20;A;8;3;2;1;2;2;0;0;0;0;2;;;;;;;;
20;D;8;3;2;1;2;2;0;0;0;0;2;;;;;;;;
20;A;9;3;2;1;2;2;0;0;0;0;2;;;;;;;;
20;D;9;3;2;1;2;2;0;0;0;0;2;;;;;;;;
20;A;10;3;2;1;1;1;0;0;0;0;2;;;;;;;;
20;D;10;3;2;1;2;2;0;0;0;0;2;;;;;;;;
20;A;11;3;2;1;1;1;0;0;0;0;2;;;;;;;;
20;D;11;3;2;1;2;2;0;0;0;0;2;;;;;;;;
20;A;12;3;2;1;1;1;0;0;0;0;2;;;;;;;;
20;D;12;2;2;1;1;1;0;0;0;0;1;;;;;;;;
20;A;13;3;2;1;1;1;0;0;0;0;2;;;;;;;;
20;D;13;2;2;1;1;1;0;0;0;0;1;;;;;;;;
20;A;14;3;2;1;1;1;0;0;0;0;1;;;;;;;;
20;D;14;2;2;1;1;1;0;0;0;0;1;;;;;;;;
20;A;15;3;2;1;1;1;0;0;0;0;1;;;;;;;;
20;D;15;2;2;1;1;1;0;0;0;0;1;;;;;;;;
20;A;16;3;2;1;1;1;0;0;0;0;1;;;;;;;;
20;D;16;2;0;1;1;1;0;0;0;0;1;;;;;;;;
20;A;17;3;2;1;1;1;0;0;0;0;1;;;;;;;;
20;D;17;2;0;1;1;1;0;0;0;0;1;;;;;;;;
20;A;18;2;2;1;1;1;0;0;0;0;1;;;;;;;;
20;D;18;2;0;1;1;1;0;0;0;0;1;;;;;;;;
21;A;1;1;0;0;0;0;2;0;1;5;1;;;;;;;;
21;B;1;1;1;0;0;0;2;0;0;0;1;;;;;;;;
21;C;1;1;0;0;0;0;2;0;1;1;1;;;;;;;;
21;D;1;1;1;0;0;0;2;0;1;5;1;;;;;;;;
21;A;2;1;2;0;0;0;0;1;0;0;2;;;;;;;;
21;B;2;1;2;0;0;0;1;1;0;0;1;;;;;;;;
21;C;2;1;2;0;0;0;1;1;0;0;2;;;;;;;;
21;D;2;1;2;0;0;0;1;1;0;0;2;;;;;;;;
21;A;3;1;2;0;0;0;1;1;0;0;2;;;;;;;;
21;B;3;1;2;0;0;0;1;1;0;0;2;;;;;;;;
21;C;3;1;2;0;0;0;1;1;1;1;2;;;;;;;;
21;D;3;1;2;0;0;0;1;1;0;0;1;;;;;;;;
21;A;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
21;B;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
21;C;4;1;2;0;0;0;1;1;0;0;2;;;;;;;;
21;D;4;1;2;0;0;0;1;1;0;0;2;;;;;;;;
21;A;5;1;2;2;0;2;1;0;0;0;2;;;;;;;;
21;B;5;1;2;2;0;2;100;1;0;0;2;;;;;;;;
21;C;5;1;2;0;0;0;1;1;0;0;2;;;;;;;;
21;D;5;1;2;0;0;0;1;1;0;0;2;;;;;;;;
21;A;6;3;2;0;0;0;0;0;0;0;2;;;;;;;;
21;B;6;2;2;2;0;1;1;0;0;0;2;;;;;;;;
21;C;6;3;2;2;0;0;1;1;0;0;2;;;;;;;;
21;D;6;3;2;2;0;0;1;100;0;0;2;;;;;;;;
21;A;7;3;2;2;0;2;0;0;0;0;2;;;;;;;;
21;B;7;3;2;2;0;2;0;0;0;0;2;;;;;;;;
21;C;7;3;2;2;0;2;0;0;0;0;2;;;;;;;;
21;D;7;3;2;0;0;0;0;0;0;0;2;;;;;;;;
21;A;8;3;2;2;2;1;0;0;0;0;2;;;;;;;;
21;B;8;3;2;2;2;2;0;0;0;0;2;;;;;;;;
21;C;8;2;2;2;2;1;0;0;0;0;1;;;;;;;;
21;D;8;2;2;2;2;1;0;0;0;0;2;;;;;;;;
21;A;9;3;2;2;1;1;0;0;0;0;2;;;;;;;;
21;B;9;3;2;2;2;2;0;0;0;0;2;;;;;;;;
21;C;9;2;2;2;1;1;0;0;0;0;1;;;;;;;;
21;D;9;2;2;2;2;1;0;0;0;0;2;;;;;;;;
21;A;10;3;2;2;2;1;0;0;0;0;2;;;;;;;;
21;B;10;2;2;2;2;1;0;0;0;0;1;;;;;;;;
21;C;10;2;2;2;2;1;0;0;0;0;1;;;;;;;;
21;D;10;3;2;2;2;0;0;0;0;0;2;;;;;;;;
21;A;11;3;2;2;2;1;0;0;1;4;2;;;;;;;;
21;B;11;3;2;2;2;1;0;0;0;0;2;;;;;;;;
21;C;11;2;1;0;1;1;0;0;1;4;1;;;;;;;;
21;D;11;2;2;2;2;1;0;0;0;0;1;;;;;;;;
21;A;12;3;2;2;2;1;0;0;0;0;2;;;;;;;;
