Gris ID;Sår ID;Dag;Længde (cm);Bredde (cm);Dybde (cm);Areal (cm^2);Sårrand (cm);Midte (cm);
;C;25;1.2;2;0;1.3165;0.7;0.7;
;D;25;1.9;1.8;0;2.1562;0.7;0.7;
34;A;10;2.4;2.9;;5.9525;0.8;0.8;
;B;10;2.7;2.5;;5.1948;0.7;0.7;
;C;10;2.8;2.6;;6.0029;1;1;
;D;10;2.7;3.2;;6.4592;0.7;0.7;
35;A;20;1.4;2;0;1.1763;0.6;0.5;
;B;20;0.5;1.1;0;0.3570;0.55;0.55;
;C;20;1.1;1.5;0;1.2737;0.6;0.6;
;D;20;1;1.5;0;0.4639;0.6;0.6;
36;A;20;1.2;2.3;;2.3030;0.6;0.6;
;B;20;1.8;1.7;;2.1995;0.5;0.5;
;C;20;2.6;2.7;;4.2005;0.55;0.5;
;D;20;1.8;1.6;0;1.8254;0.6;0.6;
37;A;20;1.4;1.5;0;1.5077;0.5;0.5;
;B;20;0.7;0.4;0;0.1127;0.5;0.5;
;C;20;2.5;2.3;;1.1719;0.6;0.6;
;D;20;1.2;1.4;0;0.6438;0.6;0.6;
38;A;20;1.5;2.4;0;2.9171;0.7;0.7;
;B;20;1.8;1.7;0;2.1595;0.7;0.6;
;C;20;1.7;1.9;0;1.6389;0.7;0.7;
;D;20;2.2;2.3;;4.1743;0.6;0.6;
39;A;15;2.3;2.6;;3.9363;0.6;0.6;
;B;15;2.4;2.6;;4.9836;0.5;0.65;
;C;15;2.5;2.1;;3.5219;0.7;0.7;
;D;15;2.4;2.8;;5.2886;0.6;0.5;
40;A;15;2.2;2.5;;4.4251;0.6;0.55;
;B;15;2.2;2.4;;3.4526;0.8;0.55;
;C;15;2.3;2.4;0;1.6988;0.55;0.55;
;D;15;2;1.8;;1.8163;0.6;0.6;
41;A;15;2.8;2.9;;5.5037;0.9;0.9;
;B;15;2.4;2.8;;4.6830;0.7;0.7;
;C;15;2.5;2.3;0;3.8055;0.65;0.5;
;D;15;2.6;2.8;;5.3109;0.7;0.6;
42;A;15;2;1.9;;2.5124;1;0.9;
;B;15;2.1;2.5;;3.4209;0.7;0.6;
;C;15;2.6;2.9;;5.5501;0.8;0.8;
;D;15;2.7;2.7;;3.9228;0.6;0.5;
43;A;10;2.35;28.5;;4.2966;0.9;0.9;
;B;10;2.3;2.55;;3.7241;0.7;0.7;
;C;10;2.7;2.5;;5.3712;1.1;1.1;
;D;10;1.9;1.8;;2.6153;0.8;0.8;
44;A;15;2.15;2.6;;3.8098;0.5;0.6;
;B;15;1.6;2.3;;2.6510;0.6;0.6;
;C;15;2.6;2.75;;4.5688;0.6;0.5;
;D;15;1.9;1.7;;2.7129;0.75;0.75;
45;A;15;1.9;2.1;;2.1080;0.7;0.7;
;B;15;2.1;2.6;;3.7430;0.7;0.6;
;C;15;1.6;1.8;0;2.0327;0.55;0.5;
;D;15;1.4;1.7;;1.4391;0.6;0.6;
46;A;15;1.6;1.9;0;1.8532;0.7;0.6;
;B;15;2.3;2.9;0;4.3240;0.9;0.8;
;C;15;1.1;1.8;0;1.3865;0.7;0.7;
;D;15;1.6;1.4;0;1.9699;0.6;0.5;
47;A;10;2.3;2.8;;4.6603;0.7;0.7;
;B;10;2.4;2.2;;3.6350;1;1;
;C;10;2.1;2.2;;3.7907;0.7;0.6;
;D;10;1.8;1.9;0;2.6897;0.6;0.6;
48;A;20;1.4;2;0;1.8072;1.2;1.2;
;B;20;1.8;1.9;0;2.1135;0.6;0.6;
;C;20;1.5;1.4;0;1.3117;0.6;0.6;
;D;20;1.7;1.8;0;1.4730;0.5;0.5;
49;A;20;1.9;2;0;2.0804;0.5;0.4;
;B;20;1.3;1.9;0;2.2215;0.5;0.5;
;C;20;1.6;1.6;0;1.6996;0.6;0.6;
;D;20;1.6;2.2;0;2.5650;0.6;0.6;
50;A;20;1;1.3;0;1.0128;0.6;0.6;
;B;20;1.2;2;0;1.4223;0.7;0.5;
;C;20;1.5;1.9;0;2.2445;0.6;0.5;
;D;20;1;1.6;0;1.1838;0.55;0.5;
